nose1x,neck1x,right_shoulder1x,right_elbow1x,right_wrist1x,left_shoulder1x,left_elbow1x,left_wrist1x,right_hip1x,right_knee1x,right_ankle1x,left_hip1x,left_knee1x,left_ankle1x,right_eye1x,left_eye1x,right_ear1x,left_ear1x,background1x,nose1y,neck1y,right_shoulder1y,right_elbow1y,right_wrist1y,left_shoulder1y,left_elbow1y,left_wrist1y,right_hip1y,right_knee1y,right_ankle1y,left_hip1y,left_knee1y,left_ankle1y,right_eye1y,left_eye1y,right_ear1y,left_ear1y,background1y,nose2x,neck2x,right_shoulder2x,right_elbow2x,right_wrist2x,left_shoulder2x,left_elbow2x,left_wrist2x,right_hip2x,right_knee2x,right_ankle2x,left_hip2x,left_knee2x,left_ankle2x,right_eye2x,left_eye2x,right_ear2x,left_ear2x,background2x,nose2y,neck2y,right_shoulder2y,right_elbow2y,right_wrist2y,left_shoulder2y,left_elbow2y,left_wrist2y,right_hip2y,right_knee2y,right_ankle2y,left_hip2y,left_knee2y,left_ankle2y,right_eye2y,left_eye2y,right_ear2y,left_ear2y,background2y,label
737,784,827,275,288,739,572,476,335,0,0,423,0,0,392,749,353,768,0,355,458,471,630,647,443,438,324,676,0,0,673,0,0,447,347,445,368,0,408,364,304,0,0,422,453,0,0,0,0,0,0,0,0,411,0,0,0,459,508,502,0,0,513,626,0,0,0,0,0,0,0,0,448,0,0,0,fight
0,733,754,0,0,0,199,525,0,0,0,0,0,0,0,0,0,0,0,0,776,777,0,0,0,618,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,fight
636,630,531,298,298,668,576,514,340,267,0,490,0,0,623,638,603,773,0,212,251,364,598,629,246,419,328,642,684,0,479,0,0,205,201,213,360,0,425,514,857,0,0,495,470,0,837,0,0,421,0,0,414,752,867,0,0,460,362,472,0,0,359,425,0,706,0,0,641,0,0,449,770,408,0,0,fight
378,531,542,302,296,517,594,578,544,548,0,521,536,528,367,381,618,780,0,356,361,362,548,617,361,407,296,463,527,0,463,528,593,348,344,203,347,0,0,530,865,0,0,411,498,480,0,0,0,743,0,0,0,0,353,0,0,0,362,471,0,0,395,415,468,0,0,0,694,0,0,0,0,351,0,0,fight
0,587,554,299,290,627,644,636,436,0,0,430,0,0,0,0,886,785,0,0,303,304,555,609,306,388,327,637,0,0,643,0,0,0,0,393,343,0,0,814,883,0,291,744,0,0,368,0,0,367,0,0,0,0,429,385,0,0,448,474,0,610,417,0,0,651,0,0,650,0,0,0,0,433,414,0,fight
677,812,615,298,276,735,299,277,570,0,537,364,538,537,665,678,644,784,0,189,438,250,535,586,408,540,583,347,0,472,644,421,472,183,181,192,328,0,464,393,886,888,0,343,0,0,426,0,0,740,0,0,257,465,893,0,0,464,497,467,578,0,474,0,0,653,0,0,703,0,0,388,451,370,0,0,fight
672,605,593,565,0,618,620,267,552,553,587,573,553,590,662,677,649,690,0,205,309,307,328,0,311,352,556,380,455,516,384,457,520,194,192,199,194,0,462,814,894,890,0,729,296,0,419,0,0,353,0,0,459,0,900,776,0,476,443,474,590,0,414,542,0,699,0,0,689,0,0,464,0,365,323,0,fight
753,810,893,888,0,722,0,0,418,0,0,355,0,0,464,765,888,782,0,303,435,467,591,0,402,0,0,700,0,0,687,0,0,473,291,379,314,0,468,398,447,450,0,349,0,0,833,0,0,715,0,0,0,0,442,0,0,486,536,550,637,0,523,0,0,709,0,0,696,0,0,0,0,472,0,0,fight
408,415,392,896,0,440,647,314,413,564,565,351,0,0,397,684,387,777,0,343,383,392,588,0,373,368,504,693,518,575,672,0,0,337,195,344,313,0,0,814,900,456,0,724,288,0,836,0,0,717,0,0,0,764,891,398,0,0,428,458,637,0,395,524,0,708,0,0,693,0,0,0,290,345,456,0,fight
379,415,398,578,627,726,298,360,840,0,0,721,0,0,666,684,892,699,0,468,388,397,481,429,415,519,488,711,0,0,702,0,0,205,202,347,201,0,0,815,542,296,359,371,0,0,425,0,0,720,0,0,613,768,394,783,0,0,436,445,520,484,534,0,0,716,0,0,703,0,0,420,304,350,322,0,fight
457,413,396,297,357,723,517,593,351,0,0,433,575,588,450,463,389,766,0,502,390,405,511,489,421,522,471,668,0,0,675,533,588,486,497,355,337,0,0,815,720,0,296,908,0,0,0,0,0,0,0,0,0,0,416,0,0,0,453,425,0,508,485,0,0,0,0,0,0,0,0,0,0,468,0,0,fight
662,397,386,443,0,718,295,0,391,0,0,330,0,0,652,670,384,685,0,224,395,406,623,0,446,511,0,679,0,0,662,0,0,212,210,358,209,0,0,810,702,0,0,907,0,0,392,0,0,0,0,0,400,0,878,752,0,0,460,428,0,0,482,0,0,680,0,0,0,0,0,348,0,367,355,0,fight
369,0,0,0,0,0,0,0,0,0,0,0,0,0,347,513,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,386,588,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,fight
448,395,384,909,0,407,0,503,361,0,0,351,0,0,399,0,384,741,0,507,413,421,604,0,407,0,380,682,0,0,682,0,0,366,0,372,369,0,0,789,882,414,0,695,0,0,828,0,0,701,0,0,444,0,867,0,0,0,479,499,620,0,456,0,0,751,0,0,752,0,0,497,0,398,0,0,fight
457,776,678,912,0,673,0,0,382,0,0,324,0,0,641,658,856,672,0,518,486,456,611,0,455,0,0,724,0,0,706,0,0,235,233,413,232,0,0,383,869,435,0,868,0,0,0,0,0,0,0,0,640,0,434,726,0,0,560,506,665,0,517,0,0,0,0,0,0,0,0,236,0,509,376,0,fight
0,756,847,906,0,653,901,0,385,0,0,322,0,0,627,644,835,656,0,0,488,505,619,0,463,588,0,762,0,0,744,0,0,237,235,411,236,0,0,372,413,435,0,857,0,0,795,0,0,669,0,0,0,0,425,705,0,0,584,604,689,0,509,0,0,769,0,0,763,0,0,0,0,524,381,0,fight
419,735,633,482,493,634,909,0,343,0,0,310,0,0,611,627,810,677,0,551,490,465,660,620,462,637,0,727,0,0,719,0,0,235,235,393,377,0,0,350,830,0,0,833,0,0,344,0,0,0,0,0,415,0,401,344,0,0,582,508,0,0,515,0,0,728,0,0,0,0,0,538,0,536,513,0,fight
224,711,608,889,0,607,901,0,769,0,0,641,0,0,210,611,782,656,0,474,491,467,626,0,469,633,0,776,0,0,772,0,0,454,236,402,383,0,0,344,807,0,0,810,0,0,0,0,0,0,0,0,402,243,388,314,0,0,632,506,0,0,512,0,0,0,0,0,0,0,0,553,457,561,541,0,fight
221,697,587,883,0,596,892,0,763,0,0,632,0,0,206,603,764,641,0,471,480,468,610,0,466,615,0,768,0,0,764,0,0,450,229,393,373,0,0,355,794,0,0,796,0,0,0,0,0,0,0,0,0,239,765,0,0,0,622,490,0,0,497,0,0,0,0,0,0,0,0,0,452,394,0,0,fight
589,682,579,877,362,586,884,480,767,0,0,634,0,0,579,596,742,614,0,237,478,471,598,612,469,600,605,747,0,0,759,0,0,224,221,382,217,0,0,352,778,263,0,786,465,0,326,0,0,0,0,0,0,0,346,628,0,0,594,478,641,0,483,659,0,748,0,0,0,0,0,0,0,544,388,0,fight
397,669,560,858,348,767,873,467,317,0,0,395,0,0,383,0,727,607,0,505,476,471,590,623,482,600,601,729,0,0,727,0,0,496,0,385,382,0,0,340,765,250,919,581,452,402,750,0,0,626,0,0,0,0,606,721,0,0,577,473,640,640,483,646,626,744,0,0,758,0,0,0,0,412,424,0,fight
567,640,735,825,330,538,823,873,279,0,0,286,0,0,558,575,707,592,0,202,458,458,578,616,460,571,628,682,0,0,705,0,0,192,189,373,187,0,379,314,535,236,876,739,406,0,352,0,0,587,0,0,369,532,350,582,0,491,541,461,628,626,466,617,0,712,0,0,729,0,0,480,736,486,358,0,fight
565,608,718,776,837,632,476,467,351,0,0,352,0,0,555,571,689,589,0,205,248,454,569,622,235,609,600,713,0,0,697,0,0,196,191,370,187,0,365,621,265,777,313,522,414,466,699,0,0,339,0,0,360,0,358,567,0,498,460,541,570,636,470,625,601,738,0,0,698,0,0,490,0,488,359,0,fight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
351,605,696,750,316,681,748,810,278,0,0,274,0,0,343,503,673,552,0,506,472,465,578,640,470,568,637,708,0,0,719,0,0,497,741,384,367,0,492,311,511,751,812,516,467,0,347,0,0,668,0,0,478,0,580,289,0,755,546,482,579,645,478,596,0,719,0,0,738,0,0,742,0,391,483,0,fight
620,590,682,461,306,670,214,728,347,0,0,280,0,0,340,353,661,543,0,445,468,464,592,634,467,632,556,704,0,0,705,0,0,489,488,376,366,0,347,307,497,394,478,501,388,0,277,0,0,647,0,0,0,0,553,280,0,497,540,476,624,732,472,636,0,705,0,0,727,0,0,0,0,391,479,0,fight
