dn1n2,dn1p2,dre1n2,dre1rh2,dre1lh2,dle1n2,dle1rh2,dle1lh2,drk1n2,drk1rh2,drk1lh2,drk1rk2,drk1lk2,dlk1n2,dlk1rh2,dlk1lh2,dlk1rk2,dlk1lk2,dra1la2,dra1ra2,dra1rh2,dra1lh2,dra1rk2,dra1lk2,dla1la2,dla1ra2,dla1rh2,dla1lh2,dla1rk2,dla1lk2,drw1n2,drw1ne2,drw1rs2,drw1ls2,drw1p2,drw1rw2,drw1lw2,drw1re2,drw1le2,drw1rh2,drw1lh2,dlw1n2,dlw1ne2,dlw1rs2,dlw1ls2,dlw1p2,dlw1rw2,dlw1lw2,dlw1re2,dlw1le2,dlw1rh2,dlw1lh2,dn2p1,dre2n1,dre2rh1,dre2lh1,dle2n1,dle2rh1,dle2lh1,drk2n1,drk2rh1,drk2lh1,drk2lk1,dlk2n1,dlk2rh1,dlk2lh1,dlk2rk1,dra2rh1,dra2lh1,dra2rk1,dra2lk1,dla2rh1,dla2lh1,dla2rk1,dla2lk1,drw2n1,drw2ne1,drw2rs1,drw2ls1,drw2p1,drw2re1,drw2le1,drw2rh1,drw2lh1,dlw2n1,dlw2ne1,dlw2rs1,dlw2ls1,dlw2p1,dlw2re1,dlw2le1,dlw2rh1,dlw2lh1,label
385.39,408.42,358.64,0,0,143.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.6,386.8,409.98,370.35,386.99,0,0,0,398.51,0,0,160.33,209.38,249.62,177.16,209.72,0,0,0,230.29,0,0,329.97,0,0,0,419.35,382.37,304.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.89,487.54,0,487.14,0,642.44,0,0,fight
425.44,497.63,302.03,327.35,372.02,160.85,204.47,270.28,418.47,437.09,471.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.85,364.23,507.73,357.85,421.21,0,0,0,334.04,355.98,397.44,189.26,240.21,427.58,230.42,320.09,0,0,0,191.37,227.5,288.09,296.57,0,0,0,426.38,305.33,46.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,206.18,0,0,250.83,0,0,193.31,0,0,53.31,0,0,0,0,49.65,0,0,0,0,0,0,0,0,0,0,0,81.4,0,0,0,362.31,508.21,321.4,380.88,0,321.22,0,331.56,0,324.72,0,328.25,484.52,282.45,348.64,0,282.26,0,293.96,0,286.23,0,0,0,0,85.87,115.97,101.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,170.42,180.4,156.46,168.43,246.29,187.38,81.88,59.23,fight
0,0,0,381.61,381.61,0,381.61,381.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.51,518.69,456.83,487.02,451.13,0,0,0,426.44,426.44,0,479.0,512.6,449.9,480.53,444.12,0,0,0,419.01,419.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.1,405.29,452.55,428.1,409.02,409.02,377.04,383.58,0,0,0,0,0,0,0,0,0,fight
488.0,508.8,237.0,328.17,239.87,241.0,331.07,243.82,0,0,0,0,0,117.0,255.38,122.71,0,0,0,0,236.12,74.79,0,0,0,0,236.12,74.79,0,0,310.0,326.98,521.21,336.54,341.81,0,0,438.41,0,384.23,312.2,306.0,323.19,518.84,332.86,338.19,0,0,435.59,0,381.01,308.23,346.0,578.14,381.88,417.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
467.21,594.26,237.41,366.84,411.18,268.37,387.59,429.79,98.99,296.65,350.0,0,0,97.02,296.0,349.45,0,0,0,0,288.86,343.42,0,0,0,0,288.62,343.21,0,0,0,0,0,0,0,0,0,0,0,0,0,289.34,470.28,509.82,427.49,467.52,0,0,416.56,379.52,402.39,443.19,296.83,555.06,345.81,354.57,527.83,300.17,310.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
450.36,470.83,297.54,321.85,297.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.43,487.31,338.37,381.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,390.94,0,333.54,308.93,0,306.96,280.03,0,136.01,51.88,0,0,0,0,0,0,0,0,0,128.39,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.23,481.11,379.92,429.78,0,0,262.41,302.98,229.09,191.51,0,192.32,333.41,368.51,244.79,366.19,398.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,94.92,0,306.74,98.48,0,365.41,221.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.6,220.48,256.46,200.73,234.16,0,298.96,0,351.97,198.73,0,400.03,160.6,207.25,132.19,178.91,0,257.99,0,317.91,129.12,0,241.03,258.49,224.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.45,127.88,125.0,335.18,199.9,158.22,253.9,179.63,126.44,0,0,0,0,0,0,0,0,0,fight
0,361.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.32,323.19,443.12,382.5,249.74,0,0,0,0,0,0,382.01,319.23,440.24,379.16,244.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.72,213.24,212.19,368.98,257.69,301.23,212.06,381.36,321.73,0,0,0,0,0,0,0,0,0,fight
